Index;year1;year2;year3;year4;year5;year6;year7;year8
94.0;-405.7280700964967;-1000.4149976721459;-1793.0183830277292;-2282.01801293852;-2840.222446973484;-4327.533405498462;-5255.980555119208;-6588.228841261212
96.0;-1263.6046978552854;-2846.4476826795517;-4867.60813890764;-6374.187515985255;-7770.339020409211;-11229.222820207244;-16939.08647568649;-20076.001224455224
98.0;-1206.2934537035783;-2723.157056995911;-4662.352128284861;-6101.132193367505;-7441.558324246191;-10768.846496056902;-16161.466277413994;-19178.60478620977
100.0;-1149.0399160722436;-2600.0057180881076;-4457.325808160185;-5828.416159871032;-7113.146003617796;-10308.959667332112;-15384.859288727186;-18282.14341342422
92.0;-463.0259726790914;-1123.6021099963775;-1998.2489337368452;-2555.085478428407;-3168.957487387942;-4787.385425547557;-6031.966436664892;-7483.086682722954
104.0;-1033.0101421527916;-2351.0811558887162;-4043.304524751253;-5275.310510257132;-6445.187246169163;-9372.38292904311;-13770.86203820216;-16410.567311134528
102.0;-1091.3628778603186;-2476.0051719021285;-4251.212502130295;-5553.78157154442;-6782.222010365192;-9844.822448259916;-14590.14298631937;-17362.68273415612
108.0;-919.5082174962929;-2105.433449432366;-3632.5145901200626;-4727.208798842417;-5782.140918377714;-8440.854215888183;-12177.830463013144;-14559.475393521785
106.0;-975.8613017248059;-2227.576667932617;-3837.0309926081286;-4999.597954785772;-6111.521686938843;-8903.770906281023;-12964.033977037761;-15472.593976049711
110.0;-862.8988145521025;-1983.373566534833;-3428.648561456528;-4456.30959661814;-5454.568475073782;-7979.984575214698;-11399.689980487892;-13659.787871764805
101.0;-1080.9823118161883;-2450.5935908175975;-4225.733059236974;-5525.531057080155;-6739.873844997546;-9767.894975108762;-14461.441744628344;-17182.834084289407
112.0;-805.8639796433105;-1860.6428826198394;-3224.292876875809;-4184.922132030864;-5126.807187823729;-7520.473284989489;-10622.323579008807;-12763.133095693114
99.0;-1138.2940433887816;-2573.887134681055;-4430.994953370265;-5798.593225662343;-7068.666238938582;-10228.287015161615;-15239.088448795957;-18080.257641067627
97.0;-1195.6055049371744;-2697.1768337106364;-4636.250964189723;-6071.649598672227;-7397.455123969743;-10688.67959780808;-16016.759738131232;-18977.72009325704
114.0;-748.6258899161583;-1737.5699054067081;-3019.600378913192;-3912.9537255782493;-4799.174865625631;-7063.125825067591;-9847.669445152334;-11869.938298304485
116.0;-691.5487312055245;-1614.6556515621387;-2815.17876563344;-3641.2451841768734;-4472.2122916124;-6606.5707145524475;-9076.88917005093;-10981.208152087864
103.0;-1023.671197915258;-2327.3023388497427;-4020.4794594304153;-5252.485303450962;-6411.106203121799;-9307.542471378936;-13683.871836745231;-16285.498954403507
105.0;-966.3598377419252;-2204.012293738571;-3815.2244762346886;-4979.430100998724;-6082.330719837175;-8847.172262359998;-12906.266467959249;-15388.120399751082
118.0;-634.3652071056936;-1491.707000960549;-2610.553155680013;-3369.3262517460016;-4144.978003878907;-6149.294750686875;-8306.502848411314;-10093.365287057479
120.0;-577.1277793980257;-1368.6361102526353;-2405.6817620071033;-3097.112377979647;-3817.549150213051;-5691.288106914861;-7534.998349824615;-9203.79640807421
107.0;-909.0487435473144;-2080.723348537366;-3609.9679241599174;-4706.369494384332;-5753.541054282306;-8386.785710964024;-12128.635927338333;-14490.714363068822
122.0;-520.0890928010084;-1245.8070065985007;-2200.9778665961144;-2824.941791374837;-3490.18318992203;-5232.789585786974;-6761.69361131809;-8311.77792099529
109.0;-851.7375200921639;-1957.4300782871485;-3404.70968887292;-4433.311905877776;-5424.756399691617;-7926.406111956207;-11351.00585790605;-13593.311054533177
111.0;-794.4265699011937;-1834.139819059441;-3199.451946609687;-4160.2548089291695;-5095.973131292397;-7466.025960261201;-10573.390585556715;-12695.918183239368
124.0;-462.99419002291575;-1122.8605654439093;-1996.0420108884998;-2552.452604797341;-3162.3589016770215;-4773.87841669439;-5988.445804471533;-7420.360630015773
95.0;-353.3519869012693;-887.4260759322243;-1620.4708946397864;-2059.7426252218347;-2570.7024998535226;-3940.826758352937;-4634.430728256474;-5856.8563470173485
93.0;-410.66184412951196;-1010.7144766001265;-1825.7253757639444;-2332.793704831665;-2899.480254231853;-4401.193788881785;-5412.0307665650935;-6754.227125636485
113.0;-737.1152156617901;-1710.8479380183162;-2994.1977493296263;-3887.2006953771647;-4767.192282886963;-7005.646318553031;-9795.766445964919;-11798.515742889575
115.0;-679.8038224055888;-1587.559897852103;-2788.9418183544426;-3614.1443132917775;-4438.412341630981;-6545.276094732876;-9018.15437402624;-10901.130940249037
117.0;-622.4934909339528;-1464.269227606497;-2583.6876846778296;-3341.0917535657845;-4109.6338614176;-6084.899258956912;-8240.531991194925;-10003.736613440062
119.0;-565.1818322304498;-1340.978376350507;-2378.4273425692586;-3068.030173562911;-3780.8427179260484;-5624.505849807888;-7462.896690656143;-9106.318630816464
121.0;-507.870901530513;-1217.688122223391;-2173.171625931093;-2794.972489174671;-3452.0628027511098;-5164.130749090654;-6685.27071529678;-8208.920561044059
123.0;-450.5604536734224;-1094.3972423385298;-1967.9130098748026;-2521.9144690327325;-3123.276572834815;-4703.751918502495;-5907.6674989517605;-7311.543092752537
125.0;-393.2486622752038;-971.1056119959102;-1762.6566649144804;-2248.857980218431;-2794.491529595156;-4243.363022146209;-5130.005478552964;-6414.097530439506
2;-1206.293454;-2723.157062;-4662.352134;-6101.132038;-7441.557845;-10768.84541;-16161.46493;-19178.6034
4;-1148.98221;-2599.866442;-4457.096128;-5828.07656;-7112.77667;-10308.46799;-15383.84339;-18281.20557
6;-1091.670965;-2476.575821;-4251.840123;-5555.021082;-6783.995494;-9848.090577;-14606.22185;-17383.80775
8;-1034.359721;-2353.285201;-4046.584117;-5281.965604;-6455.214319;-9387.713163;-13828.60031;-16486.40993
0;-1263.604698;-2846.447683;-4867.608139;-6374.187516;-7770.33902;-11229.22282;-16939.08648;-20076.00122
3;-1206.293454;-2723.157062;-4662.352133;-6101.132038;-7441.557845;-10768.84541;-16161.46493;-19178.6034
9;-1034.359721;-2353.285201;-4046.584117;-5281.965604;-6455.214319;-9387.713163;-13828.60031;-16486.40992
7;-1091.670965;-2476.575821;-4251.840123;-5555.021082;-6783.995494;-9848.090577;-14606.22185;-17383.80775
5;-1148.98221;-2599.866442;-4457.096128;-5828.07656;-7112.77667;-10308.46799;-15383.84339;-18281.20557
1;-1263.604698;-2846.447683;-4867.608139;-6374.187516;-7770.33902;-11229.22282;-16939.08648;-20076.00122
12;-919.7372329;-2106.70396;-3636.072107;-4735.854648;-5797.651968;-8466.958334;-12273.35723;-14691.61428
14;-862.4259888;-1983.41334;-3430.816101;-4462.79917;-5468.870793;-8006.58092;-11495.73569;-13794.21645
16;-805.1147446;-1860.122719;-3225.560096;-4189.743692;-5140.089617;-7546.203506;-10718.11415;-12896.81863
18;-747.8035005;-1736.832099;-3020.304091;-3916.688214;-4811.308442;-7085.826091;-9940.492607;-11999.4208
10;-977.0484771;-2229.994581;-3841.328112;-5008.910126;-6126.433143;-8927.335749;-13050.97877;-15589.0121
17;-805.1147446;-1860.122719;-3225.560096;-4189.743692;-5140.089617;-7546.203506;-10718.11415;-12896.81863
19;-747.8035005;-1736.832099;-3020.304091;-3916.688214;-4811.308442;-7085.826091;-9940.492607;-11999.4208
15;-862.4259888;-1983.41334;-3430.816101;-4462.79917;-5468.870793;-8006.58092;-11495.73569;-13794.21645
11;-977.0484771;-2229.994581;-3841.328112;-5008.910126;-6126.433143;-8927.335749;-13050.97877;-15589.0121
13;-919.7372329;-2106.70396;-3636.072107;-4735.854648;-5797.651968;-8466.958334;-12273.35723;-14691.61428
22;-633.1810122;-1490.250858;-2609.79208;-3370.577258;-4153.746091;-6165.071263;-8385.249525;-10204.62515
24;-575.869768;-1366.960238;-2404.536075;-3097.52178;-3824.964916;-5704.693849;-7607.627984;-9307.227327
26;-518.5585239;-1243.669617;-2199.280069;-2824.466302;-3496.18374;-5244.316434;-6830.006443;-8409.829502
28;-461.2472797;-1120.378997;-1994.024064;-2551.410824;-3167.402565;-4783.93902;-6052.384902;-7512.431677
30;-403.9360356;-997.0883764;-1788.768059;-2278.355346;-2838.621389;-4323.561606;-5274.763361;-6615.033853
20;-690.4922563;-1613.541479;-2815.048085;-3643.632736;-4482.527266;-6625.448677;-9162.871066;-11102.02298
31;-403.9360356;-997.0883764;-1788.768058;-2278.355345;-2838.621389;-4323.561605;-5274.763361;-6615.033852
29;-461.2472797;-1120.378997;-1994.024064;-2551.410824;-3167.402565;-4783.93902;-6052.384902;-7512.431677
27;-518.5585239;-1243.669617;-2199.280069;-2824.466302;-3496.18374;-5244.316434;-6830.006443;-8409.829502
21;-690.4922563;-1613.541478;-2815.048085;-3643.632736;-4482.527266;-6625.448677;-9162.871066;-11102.02298
25;-575.869768;-1366.960238;-2404.536075;-3097.52178;-3824.964916;-5704.693848;-7607.627984;-9307.227327
